B0,B1,B2,B3,B4,B5,B6,B7,DiffCount,Delta_from_0.5
5,6,2,1,4,3,7,8,6,-0.0297619048
5,1,7,2,3,6,4,8,6,-0.0297619048
5,1,3,6,7,2,4,8,6,-0.0297619048
5,1,2,7,6,3,4,8,7,-0.0297619048
7,6,5,1,2,3,4,8,7,-0.0297619048
5,1,6,3,2,7,4,8,7,-0.0297619048
5,2,6,1,4,7,3,8,6,-0.0297619048
7,5,6,1,2,4,3,8,7,-0.0297619048
7,1,6,3,5,4,2,8,6,-0.0297619048
7,1,4,5,3,6,2,8,6,-0.0297619048
5,3,7,1,4,6,2,8,6,-0.0297619048
7,1,3,6,4,5,2,8,6,-0.0297619048
7,1,5,4,6,3,2,8,6,-0.0297619048
7,3,4,1,2,6,5,8,6,-0.0297619048
5,7,3,1,4,2,6,8,6,-0.0297619048
7,4,3,1,2,5,6,8,6,-0.0297619048
8,2,4,5,3,6,1,7,6,-0.0297619048
6,4,8,2,3,5,1,7,8,-0.0297619048
8,2,3,6,4,5,1,7,6,-0.0297619048
8,2,5,4,6,3,1,7,6,-0.0297619048
8,2,6,3,5,4,1,7,6,-0.0297619048
6,1,5,2,3,8,4,7,8,-0.0297619048
8,6,5,2,1,3,4,7,8,-0.0297619048
6,2,4,5,8,1,3,7,7,-0.0297619048
6,2,5,4,1,8,3,7,6,-0.0297619048
6,2,8,1,4,5,3,7,7,-0.0297619048
6,2,1,8,5,4,3,7,6,-0.0297619048
8,5,6,2,1,4,3,7,8,-0.0297619048
6,8,4,2,3,1,5,7,8,-0.0297619048
8,3,4,2,1,6,5,7,7,-0.0297619048
8,4,3,2,1,5,6,7,7,-0.0297619048
6,5,1,2,3,4,8,7,8,-0.0297619048
1,7,4,5,3,6,8,2,6,-0.0297619048
1,7,3,6,4,5,8,2,6,-0.0297619048
1,7,5,4,6,3,8,2,6,-0.0297619048
3,5,1,7,6,4,8,2,8,-0.0297619048
1,7,6,3,5,4,8,2,6,-0.0297619048
1,6,5,7,8,3,4,2,7,-0.0297619048
3,1,5,7,6,8,4,2,8,-0.0297619048
1,5,6,7,8,4,3,2,7,-0.0297619048
3,8,4,7,6,1,5,2,8,-0.0297619048
1,3,4,7,8,6,5,2,6,-0.0297619048
3,7,1,8,5,4,6,2,7,-0.0297619048
3,7,5,4,1,8,6,2,7,-0.0297619048
